object,version,sheet_types,sheets_n,area_total_m2,area_living_m2,room_counts,rooms,sources
2мд белоостров,в2,планировка,1,46.2,31.2,"гостиная:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 11.44м²; С/У 3.76м²; Общая 4.84м²; Спальная 11.18м²; Терраса 15.0м²,2026\Планировки\Юра\2МД Белоостров В2.pdf (стр.1)
2мд белоостров,в3,планировка,1,38.7,31.2,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 11.44м²; С/У 3.76м²; Прихожая 4.84м²; Спальная 11.18м²; Терраса 7.5м²,2026\Планировки\Юра\2МД Белоостров В3.pdf (стр.1)
2мд бюджет тип 1,в1,планировка,1,47.4,32.4,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Спальная 5.53м²; С/У 3.89м²; Прихожая 2.38м²; Кухня-Гостиная 20.63м²; Терраса 12.0м²; Крыльцо 3.0м²,2026\Планировки\Юра\2МД Бюджет тип 1 В1.pdf (стр.1)
2мд бюджет тип 2,в1,планировка,1,45.9,31.2,"гостиная:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 18.85м²; Спальная 7.83м²; С/У 4.51м²; Терраса 12.0м²; Крыльцо 2.7м²,2026\Планировки\Юра\2МД Бюджет тип 2 В1.pdf (стр.1)
2мд гостевой,,планировка,1,39.0,24.8,"гостиная:1, прихожая:1, санузел:1, терраса:1",Гостиная 13.55м²; Прихожая 3.3м²; С/У 7.97м²; Терраса 11.84м²; Крыльцо 2.32м²,2025\Планировки\Для Василия\2МД Гостевой.pdf (стр.1)
2мд гостевой,в2,планировка,1,34.6,23.0,"гостиная:1, прихожая:1, санузел:1, терраса:1",Гостиная 13.55м²; Прихожая 3.3м²; С/У 6.19м²; Терраса 9.24м²; Крыльцо 2.32м²,2025\Планировки\Для Василия\2МД Гостевой В2.pdf (стр.1)
2мд дом выборг,в1,планировка,1,66.0,42.5,"гостиная:1, санузел:1, спальня:2, терраса:1",Кухня-Гостиная 19.08м²; Спальная 1 14.9м²; Спальная 2 4.68м²; С/У 3.81м²; Терраса 19.02м²; Крыльцо 4.5м²,2025\Дома\2МД Дом Выборг\2МД Дом Выборг В1.pdf (стр.1)
2мд кпп уютный берег,в1,планировка,1,20.8,20.8,санузел:1,Рабочая зона 10.21м²; Комната отдыха 8.79м²; С/У 1.8м²,2025\Планировки\Для Василия\2МД КПП Уютный Берег В1.pdf (стр.1)
2мд летняя кухня s,в1,планировка,1,34.2,18.6,"гостиная:1, прихожая:1, терраса:1",Кухня-Гостиная 12.82м²; Прихожая 3.34м²; УМ 2.42м²; Терраса 15.66м²,2026\Планировки\Юра\2МД Летняя кухня S В1.pdf (стр.1)
2мд максим,в1,планировка,1,44.9,31.8,"гостиная:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 11.55м²; С/У 3.36м²; Спальня 9.43м²; Кабинет 7.46м²; Терраса 13.13м²,2025\Планировки\Юра\2МД Максим В1.pdf (стр.1)
2мд максим белоостров набросок,в1,планировка,1,0.0,0.0,,,2025\Планировки\Юра\2МД Максим Белоостров набросок В1.pdf (стр.1)
2мд максим блоостров,в1,планировка,3,149.8,95.8,"гостиная:3, прихожая:3, санузел:3, спальня:3, терраса:3",Прихожая 3.99м²; С/У 2.76м²; Спальня 11.02м²; Кабинет 5.75м²; Гостиная 8.4м²; Терраса 18.0м²; Прихожая 3.99м²; С/У 2.76м²; Спальня 11.02м²; Кабинет 5.75м²; Гостиная 8.4м²; Терраса 18.0м²; Прихожая 3.99м²; С/У 2.76м²; Спальня 11.02м²; Кабинет 5.75м²; Гостиная 8.4м²; Терраса 18.0м²,2025\Планировки\Юра\2МД Максим Блоостров В1.pdf (стр.1) | 2025\Планировки\Юра\2МД Максим Блоостров В1.pdf (стр.2) | 2025\Планировки\Юра\2МД Максим Блоостров В1.pdf (стр.3)
2мд оптима,в1,планировка,1,34.5,24.3,"гостиная:1, прихожая:1, санузел:1, терраса:1",Кухня-Гостиная 19.08м²; С/У 3.13м²; Прихожая 2.07м²; Терраса 10.25м²,2026\Планировки\Юра\2МД Оптима В1.pdf (стр.1)
2мд офис,в1,планировка,1,28.9,28.9,санузел:1,Яндекс еда 5.76м²; с/у 2.13м²; Тамбур 2.44м²; Офис 18.59м²,2026\Планировки\Юра\2МД Офис В1.pdf (стр.1)
2мд офис,в2,планировка,1,30.6,30.6,санузел:1,Яндекс еда 5.76м²; С/У 2.13м²; Тамбур 2.44м²; Офис 20.23м²,2026\Планировки\Юра\2МД Офис В2.pdf (стр.1)
2мд офис,в3,планировка,1,30.8,30.8,санузел:1,Яндекс еда 5.76м²; с/у 2.13м²; Тамбур 2.44м²; Офис 20.44м²,2026\Планировки\Юра\2МД Офис В3.pdf (стр.1)
2мд офис,в4,планировка,1,30.7,30.7,санузел:1,Яндекс еда 5.76м²; с/у 2.13м²; Тамбур 2.44м²; Офис 20.39м²,2026\Планировки\Юра\2МД Офис В4.pdf (стр.1)
2мд парная плюс спальная,в1,планировка,1,54.6,33.0,"гостиная:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 19.13м²; Спальня 4.93м²; С/У 4.17м²; Парная 4.82м²; Крыльцо 3.6м²; Терраса 18.0м²,2025\Планировки\Для Василия\2МД Парная плюс Спальная В1.pdf (стр.1)
2мд парная плюс спальная,в2,планировка,1,50.9,32.9,"гостиная:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 19.61м²; Спальня 5.69м²; С/У 4.17м²; Парная 3.47м²; Терраса 18.0м²,2025\Планировки\Для Василия\2МД Парная плюс Спальная В2.pdf (стр.1)
2мд парная плюс спальная,в3,планировка,1,50.9,32.9,"гостиная:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 19.61м²; Спальня 5.69м²; С/У 4.17м²; Парная 3.47м²; Терраса 18.0м²,2025\Планировки\Для Василия\2МД Парная плюс Спальная В3.pdf (стр.1)
2мд парная плюс спальная,в4,планировка,1,50.9,32.9,"гостиная:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 19.61м²; Спальня 5.69м²; С/У 4.17м²; Парная 3.47м²; Терраса 18.0м²,2025\Планировки\Для Василия\2МД Парная плюс Спальная В4.pdf (стр.1)
2мд пристройка,в1,планировка,1,24.7,24.7,"кухня:1, санузел:4",1 С/У 1 1.01м²; 2 С/У 2 1.01м²; 3 С/У 3 1.01м²; 4 С/У Персонала 1.2м²; 5 Зона кухни 20.47м²,2026\Планировки\Юра\2МД Пристройка В1.pdf (стр.1)
2мд псков,в1,планировка,1,0.0,0.0,,ПМ; БОЙЛЕР 80л,2025\Планировки\Юра\2МД Псков В1.pdf (стр.1)
2мд эксперимент,,планировка,1,0.0,0.0,гостиная:1,CТМ.; X/У; кухня-гостиная,2026\Планировки\Юра\2МД Эксперимент.pdf (стр.1)
2мд ямилахти,в1,планировка,1,49.8,32.4,"гостиная:1, прихожая:1, санузел:1, терраса:1",Кухня-Гостиная 19.87м²; Прихожая 4.81м²; С/У 4.64м²; Тех. помещение 3.07м²; Крыльцо 3.0м²; Терраса 14.4м²,2026\Планировки\Юра\2МД Ямилахти В1.pdf (стр.1)
2мд ямилахти,в2,планировка,1,49.8,32.4,"гостиная:1, прихожая:1, санузел:1, терраса:1",Кухня-Гостиная 19.87м²; Прихожая 4.81м²; С/У 4.64м²; Тех. помещение 3.07м²; Крыльцо 3.0м²; Терраса 14.4м²,2026\Планировки\Юра\2МД Ямилахти В2.pdf (стр.1)
2мд ямилахти  - потолки,,"другое, планировка, спецификация",3,0.0,0.0,,,2026\ДОМА\Ямилахти\ПОТОЛОК и КРЫША\2МД Ямилахти  - ПОТОЛКИ.pdf (стр.1) | 2026\ДОМА\Ямилахти\ПОТОЛОК и КРЫША\2МД Ямилахти  - ПОТОЛКИ.pdf (стр.2) | 2026\ДОМА\Ямилахти\ПОТОЛОК и КРЫША\2МД Ямилахти  - ПОТОЛКИ.pdf (стр.3)
2мд ямилахти стандарт,в1,планировка,1,44.9,32.9,"гостиная:1, прихожая:1, санузел:1, терраса:1",Кухня-Гостиная 20.78м²; Прихожая 8.11м²; С/У 4.02м²; Терраса 12.0м²,2026\Планировки\Юра\2МД Ямилахти стандарт В1.pdf (стр.1)
2мд ямилахти стандарт,в2,планировка,1,47.9,32.9,"гостиная:1, прихожая:1, санузел:1, терраса:1",Кухня-Гостиная 20.78м²; Прихожая 8.11м²; С/У 4.02м²; Терраса 12.0м²; Крыльцо 3.0м²,2026\Планировки\Юра\2МД Ямилахти стандарт В2.pdf (стр.1)
2мд ямилахти стандарт,в3,планировка,1,47.9,32.9,"гостиная:1, прихожая:1, санузел:1, терраса:1",Кухня-Гостиная 20.78м²; Прихожая 8.11м²; С/У 4.02м²; Терраса 12.0м²; Крыльцо 3.0м²,2026\Планировки\Юра\2МД Ямилахти стандарт В3.pdf (стр.1)
2мд ямилахти стандарт,в4,,1,0.0,0.0,,,2026\Планировки\Юра\2МД Ямилахти стандарт В4.pdf (стр.1)
2мд ямилахти стандарт в4 — копия,,планировка,1,47.9,32.9,"гостиная:1, прихожая:1, санузел:1, терраса:1",Кухня-Гостиная 20.78м²; Прихожая 8.11м²; С/У 4.02м²; Терраса 12.0м²; Крыльцо 3.0м²,2026\Планировки\Юра\2МД Ямилахти стандарт В4 — копия.pdf (стр.1)
2мд++ выборг,в1,планировка,1,26.0,26.0,"гостиная:1, спальня:1",Гостиная 17.12м²; Спальня 8.83м²,2026\Планировки\Юра\2МД++ Выборг В1.pdf (стр.1)
2мд++ выборг,в2,планировка,1,26.0,26.0,"гостиная:1, спальня:1",Гостиная 17.12м²; Спальня 8.83м²,2026\Планировки\Юра\2МД++ Выборг В2.pdf (стр.1)
2эт,,планировка,1,69.3,69.3,,комната 9.18м²; комната 8.72м²; комната 6.1м²; комната 37.25м²; комната 8.07м²,Планировки\Lampi 4\2эт.pdf (стр.1)
3,,планировка,1,54.0,36.0,"гостиная:1, терраса:1",ВХОД 3.0м²; ПМ 4.45м²; СТМ; гостиная 28.55м²; терраса 18.0м²,Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\3.pdf (стр.1)
3 спальни,,планировка,1,0.0,0.0,,,2025\Планировки\Николай\3 спальни.pdf (стр.1)
3+ с сауной,в1,планировка,1,72.8,72.8,"кухня:1, санузел:1, спальня:3",ПМ 3.0м²; кухня-столовая 21.15м²; коридор 3.68м²; санузел 1.2м²; спальня 7.77м²; спальня 8.95м²; спальня 27.0м²,Планировки\Lampi 4\3+ с сауной в1.pdf (стр.1)
3+ с сауной,в2,планировка,1,48.5,48.5,"кухня:1, санузел:1, спальня:1",ПМ 3.0м²; кладовая 3.59м²; офис 1.2м²; кухня-столовая 21.15м²; коридор 3.68м²; спальня 7.77м²; ванная 4.63м²; гардеробная 3.43м²,Планировки\Lampi 4\3+ с сауной в2.pdf (стр.1)
3+ с сауной обн,,планировка,1,58.9,58.9,,ПМ 3.0м²; комната 21.15м²; комната 8.95м²; комната 7.77м²; комната 3.59м²; комната 3.68м²; комната 4.63м²; комната 2.72м²; комната 3.43м²,Планировки\Собрать проект\3+ с сауной обн.pdf (стр.1)
"3,3",в2,планировка,1,56.5,56.5,"гостиная:1, санузел:2, спальня:2",спальня 8.68м²; спальня 7.75м²; кухня-гостиная 22.38м²; ванная 10.8м²; санузел 3.84м²; лестница 3.0м²,"Планировки\RANTA\3,3 в2.pdf (стр.1)"
"3,3",в3,планировка,1,56.5,56.5,"гостиная:1, санузел:1, спальня:2",спальня 8.68м²; спальня 7.75м²; кухня-гостиная 22.38м²; ванная 10.8м²; холодильник 3.84м²; лестница 3.0м²,"Планировки\RANTA\3,3 в3.pdf (стр.1)"
3.3,в1,планировка,1,47.1,47.1,"гостиная:1, санузел:1, спальня:2",спальня 9.09м²; спальня 9.09м²; ванная 3.64м²; коридор 4.3м²; кухня-гостиная 21.02м²,Планировки\RANTA\3.3в1.pdf (стр.1)
3.54.9,,планировка,1,60.7,60.7,"гостиная:1, кухня:1, санузел:2, спальня:1",кухня 12.0м²; спальня 10.1м²; гостиная 24.16м²; ванная 2.9м²; туалет 1.4м²; коридор 10.1м²,2025\Планировки\Вводные\3.54.9.pdf (стр.1)
32232,,планировка,1,0.0,0.0,"гостиная:1, санузел:1, спальня:1",кухня-гостиная; спальня; санузел,Планировки\32232.pdf (стр.1)
3232,,планировка,1,98.7,98.7,"кухня:1, прихожая:2, санузел:3, спальня:3",спальня 11.91м²; гардеробная 4.12м²; санузел 1.84м²; спальня 11.83м²; санузел 2.13м²; кухня-столовая 34.5м²; коридор 4.33м²; санузел 5.42м²; прихожая 5.7м²; холл 6.82м²; спальня 10.1м²,Планировки\3232.pdf (стр.1)
33333,,планировка,1,0.0,0.0,,,Планировки\33333.pdf (стр.1)
3343243,,планировка,1,130.4,130.4,"гостиная:1, санузел:1, спальня:1",кухня-гостиная 68.6м²; спальня 23.0м²; санузел 8.2м²; коридор 30.6м²,Планировки\3343243.pdf (стр.1)
3м,в1,планировка,1,47.4,47.4,,ПМ 19.9м²; комната 8.66м²; комната 8.43м²; комната 3.78м²; комната 3.63м²; комната 3.0м²,Планировки\Собрать проект\3м- в1.pdf (стр.1)
3м с сауной,,планировка,1,58.6,58.6,"гостиная:1, кухня:1, санузел:2, спальня:1",ПМ 22.0м²; кухня 9.42м²; ванная 2.97м²; туалет 3.5м²; коридор 3.76м²; спальня 7.44м²; гостиная 9.54м²,Планировки\Собрать проект\3м с сауной.pdf (стр.1)
3м с сауной 1,,планировка,1,58.6,58.6,"гостиная:1, кухня:1, прихожая:1, санузел:2, спальня:1",гостиная 22.0м²; кухня 9.42м²; спальня 9.54м²; ванная 3.76м²; туалет 3.5м²; коридор 7.44м²; прихожая 2.97м²,Планировки\Собрать проект\3м с сауной 1.pdf (стр.1)
3м с сауной 2,,планировка,1,75.2,75.2,"гостиная:1, кухня:1, прихожая:1, санузел:2, спальня:1",гостиная 18.0м²; кухня 22.29м²; спальня 12.65м²; ванная 2.97м²; туалет 3.5м²; коридор 3.55м²; кладовая 4.5м²; прихожая 7.79м²,Планировки\Собрать проект\3м с сауной 2.pdf (стр.1)
3м+баня,в2,планировка,1,46.3,46.3,"гостиная:1, кухня:1, санузел:1, спальня:1",ПМ; кухня-столовая 21.34м²; гостиная 10.0м²; ванная 3.68м²; гардеробная 4.24м²; спальня 7.0м²,Загрузки Валя\3м+баня в2.pdf (стр.1)
3м+баня,в5,планировка,1,49.6,49.6,"гостиная:1, кухня:1, санузел:1, спальня:1",ПМ; кухня-столовая 21.7м²; гостиная 10.0м²; ванная 3.68м²; гардеробная 4.24м²; спальня 7.0м²; лестница 3.0м²,Загрузки Валя\3м+баня в5.pdf (стр.1)
3м+баня,в7,планировка,1,58.8,58.8,"гостиная:1, кухня:1, санузел:2, спальня:1",гостиная 20.92м²; кухня 18.0м²; спальня 9.42м²; ванная 3.13м²; гардеробная 3.8м²; туалет 3.5м²,Работы Валя\Карповы\3м+баня в7.pdf (стр.1)
3м+баня,в8,планировка,2,95.5,95.5,"кухня:2, санузел:2, спальня:2",ПМ 3.13м²; кухня-столовая 20.92м²; ванная 3.5м²; гардеробная 3.8м²; спальня 7.0м²; комната 9.42м²; ПМ 3.13м²; кухня-столовая 20.92м²; санузел 3.5м²; коридор 3.8м²; спальня 7.0м²; комната 9.42м²,Загрузки Валя\3м+баня в8.pdf (стр.1) | Работы Валя\Карповы\3м+баня в8.pdf (стр.1)
3м+баня в5 (1),,планировка,1,49.6,49.6,"кухня:1, санузел:1, спальня:1",ПМ; кухня-столовая 21.7м²; спальня 10.0м²; ванная 3.68м²; гардеробная 4.24м²; коридор 7.0м²; лестница 3.0м²,Загрузки Валя\3м+баня в5 (1).pdf (стр.1)
3м+баня в5 (2),,планировка,1,52.5,52.5,"гостиная:1, кухня:1, санузел:2, спальня:1",ПМ; кухня-столовая 21.7м²; гостиная 10.0м²; ванная 2.89м²; санузел 3.68м²; гардеробная 4.24м²; спальня 7.0м²; лестничная клетка 3.0м²,Загрузки Валя\3м+баня в5 (2).pdf (стр.1)
3мд анна,в2,планировка,1,79.8,39.9,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:1",Парная 6.78м²; Комната отдыха-Душевая 6.72м²; С/У 1.66м²; Кухня-Гостиная 21.07м²; Прихожая 3.71м²; Терраса 39.88м²,2026\Планировки\Юра\3МД Анна В2.pdf (стр.1)
3мд анна,в3,планировка,1,79.8,39.9,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:1",Парная 6.78м²; Комната отдыха-Душевая 6.72м²; С/У 1.66м²; Кухня-Гостиная 21.07м²; Прихожая 3.71м²; Терраса 39.88м²,2026\Планировки\Юра\3МД Анна В3.pdf (стр.1)
3мд банный дом,в1,планировка,1,59.9,47.9,"гостиная:1, кухня:1, прихожая:1, санузел:1, сауна:1, спальня:1, терраса:1",Спальная 11.08м²; Кухня 6.93м²; Гостиная 13.52м²; Прихожая 2.08м²; С/У 1.06м²; Душевая 1.8м²; Тамбур 3.38м²; Парная 8.05м²; Терраса 12.0м²,2026\Планировки\Юра\3МД Банный дом В1.pdf (стр.1)
3мд банный комлпекс,в1,планировка,1,67.1,41.7,"гостиная:1, прихожая:2, санузел:1, сауна:1, терраса:1",Прихожая 3.28м²; Холл 4.42м²; С/У 3.82м²; Кухня-Гостиная 17.98м²; Душевая-Комната отдыха 5.47м²; Парная 6.76м²; Терраса 25.35м²,2025\Планировки\Юра\3МД Банный комлпекс В1.pdf (стр.1)
3мд банный комлпекс,в2,планировка,1,67.1,41.7,"гостиная:1, прихожая:2, санузел:1, сауна:1, терраса:1",Прихожая 3.28м²; Холл 4.42м²; С/У 3.82м²; Кухня-Гостиная 17.98м²; Душевая-Комната отдыха 5.47м²; Парная 6.76м²; Терраса 25.35м²,2025\Планировки\Юра\3МД Банный комлпекс В2.pdf (стр.1)
3мд банный комлпекс,в3,планировка,1,67.1,41.7,"гостиная:1, прихожая:2, санузел:1, сауна:1, терраса:1",Прихожая 3.28м²; Холл 4.42м²; С/У 3.82м²; Кухня-Гостиная 17.98м²; Душевая-Комната отдыха 5.47м²; Парная 6.76м²; Терраса 25.35м²,2025\Планировки\Юра\3МД Банный комлпекс В3.pdf (стр.1)
3мд банный комлпекс крытая терраса,в1,планировка,1,109.9,49.4,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:2",Кухня-Гостиная 34.07м²; Парная 5.06м²; Помывочная 5.8м²; Прихожая 2.95м²; С/У 1.47м²; Крытая терраса 36.01м²; Крыльцо 5.4м²; Открытая терраса 19.11м²,2025\Планировки\Юра\3МД Банный комлпекс Крытая терраса В1.pdf (стр.1)
3мд банный комлпекс крытая терраса,в2,планировка,1,108.8,49.4,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:2",Кухня-Гостиная 34.07м²; Парная 5.06м²; Помывочная 5.8м²; Прихожая 2.95м²; С/У 1.47м²; Крытая терраса 36.01м²; Крыльцо 5.4м²; Терраса 18.0м²,2025\Планировки\Юра\3МД Банный комлпекс Крытая терраса В2.pdf (стр.1)
3мд баня l,в1,планировка,1,53.0,35.6,"санузел:1, сауна:1, спальня:1, терраса:1",Парная 10.6м²; С/У 4.19м²; Комната отдыха 12.29м²; Спальная 8.57м²; Терраса 17.34м²,2025\Планировки\Юра\3МД Баня L В1.pdf (стр.1)
3мд баня l,в2,планировка,1,50.1,32.8,"санузел:1, сауна:1, спальня:1, терраса:1",Парная 7.7м²; С/У 4.19м²; Комната отдыха 12.29м²; Спальная 8.57м²; Терраса 17.34м²,2025\Планировки\Юра\3МД Баня L В2.pdf (стр.1)
3мд баня l,в3,планировка,1,47.8,30.4,"санузел:1, сауна:1, спальня:1, терраса:1",Парная 5.76м²; С/У 4.19м²; Комната отдыха 11.38м²; Спальная 9.12м²; Терраса 17.34м²,2025\Планировки\Юра\3МД Баня L В3.pdf (стр.1)
3мд баня l,в4,планировка,1,47.8,30.4,"санузел:1, сауна:1, спальня:1, терраса:1",Парная 5.76м²; С/У 4.19м²; Комната отдыха 11.38м²; Спальная 9.12м²; Терраса 17.34м²,2025\Планировки\Юра\3МД Баня L В4.pdf (стр.1)
3мд баня l,в5,планировка,1,48.1,30.8,"санузел:1, сауна:1, спальня:1, терраса:1",Парная 5.76м²; С/У 4.19м²; Комната отдыха 12.66м²; Спальная 8.2м²; Терраса 17.34м²,2025\Планировки\Юра\3МД Баня L В5.pdf (стр.1)
3мд баня l,в6,планировка,1,61.1,30.0,"санузел:1, сауна:1, спальня:1, терраса:1",Парная 5.71м²; С/У 4.19м²; Комната отдыха 11.99м²; Спальная 8.14м²; Терраса 31.1м²,2026\Планировки\Юра\3МД Баня L В6.pdf (стр.1)
3мд баня l,в7,планировка,1,61.1,30.0,"санузел:1, сауна:1, спальня:1, терраса:1",Парная 5.71м²; С/У 4.19м²; Комната отдыха 11.99м²; Спальная 8.14м²; Терраса 31.1м²,2026\Планировки\Юра\3МД Баня L В7.pdf (стр.1)
3мд белоостров,в4,планировка,1,46.6,39.1,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 17.54м²; С/У 5.55м²; Прихожая 4.82м²; Спальня 11.18м²; Терраса 7.5м²,2026\Планировки\Юра\3МД Белоостров В4.pdf (стр.1)
3мд белоостров,в5,планировка,1,46.6,39.1,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 17.54м²; С/У 5.55м²; Прихожая 4.82м²; Спальня 11.18м²; Терраса 7.5м²,2026\Планировки\Юра\3МД Белоостров В5.pdf (стр.1)
3мд белоостров,в6,планировка,1,46.6,39.1,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 17.54м²; С/У 5.55м²; Прихожая 4.82м²; Спальня 11.18м²; Терраса 7.5м²,2026\Планировки\Юра\3МД Белоостров В6.pdf (стр.1)
3мд гараж + хозблок,в1,планировка,1,50.0,16.2,,Гараж 33.86м²; Хоз. Помещение 16.16м²,2025\Планировки\Юра\3МД Гараж + Хозблок В1.pdf (стр.1)
3мд гараж + хозблок,в2,планировка,1,35.9,11.6,,Гараж 24.29м²; Хоз. Помещение 11.59м²,2025\Планировки\Юра\3МД Гараж + Хозблок В2.pdf (стр.1)
3мд дыбенко,в1,планировка,1,0.0,0.0,"гостиная:1, кухня:1",гостиная; кухня,2025\Планировки\Юра\3МД Дыбенко В1.pdf (стр.1)
3мд летняя кухня l,в1,планировка,1,48.2,32.5,"кухня:1, санузел:1, терраса:1",Дровохранилище 3.34м²; Кухня-столовая 26.74м²; Санузел 2.42м²; Терраса 15.66м²,2026\Планировки\Юра\3МД Летняя кухня L В1.pdf (стр.1)
3мд максим блоостров,в1,планировка,1,48.1,39.4,"гостиная:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 16.27м²; С/У 4.48м²; Мастерская 7.17м²; Спальная 11.49м²; Терраса 8.73м²,2025\Планировки\Юра\3МД Максим Блоостров В1.pdf (стр.1)
3мд максим блоостров,в2,планировка,1,48.1,39.4,"гостиная:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 16.27м²; С/У 4.48м²; Мастерская 7.17м²; Спальная 11.49м²; Терраса 8.73м²,2025\Планировки\Юра\3МД Максим Блоостров В2.pdf (стр.1)
3мд максим блоостров,в3,планировка,1,48.1,39.4,"гостиная:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 16.27м²; С/У 4.48м²; Мастерская 7.17м²; Спальная 11.49м²; Терраса 8.73м²,2025\Планировки\Юра\3МД Максим Блоостров В3.pdf (стр.1)
3мд максим блоостров,в4,планировка,3,146.2,134.9,"гостиная:3, санузел:3, спальня:6",Гостиная 22.42м²; Спальная 6.13м²; С/У 3.14м²; Спальная 13.27м²; Крыльцо 3.76м²; Гостиная 22.42м²; Спальная 6.13м²; С/У 3.14м²; Спальная 13.27м²; Крыльцо 3.76м²; Гостиная 22.42м²; Спальная 6.13м²; С/У 3.14м²; Спальная 13.27м²; Крыльцо 3.76м²,2025\Планировки\Юра\3МД Максим Блоостров В4.pdf (стр.1) | 2025\Планировки\Юра\3МД Максим Блоостров В4.pdf (стр.2) | 2025\Планировки\Юра\3МД Максим Блоостров В4.pdf (стр.3)
3мд петергоф,в1,планировка,1,68.4,45.2,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Спальня 12.36м²; Кухня-Гостиная 21.55м²; С/У 5.27м²; Прихожая 6.0м²; Терраса 18.57м²; Крыльцо 4.64м²,2026\Планировки\Юра\3МД Петергоф В1.pdf (стр.1)
3мд петергоф,в2,планировка,1,68.4,45.2,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Спальная 12.36м²; Кухня-Гостиная 21.55м²; С/У 5.27м²; Прихожая 6.0м²; Терраса 18.57м²; Крыльцо 4.64м²,2026\Планировки\Юра\3МД Петергоф В2.pdf (стр.1)
3мд петергоф,в3,планировка,1,68.4,45.2,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Спальня 12.36м²; Кухня-Гостиная 21.55м²; С/У 5.27м²; Прихожая 6.0м²; Терраса 18.57м²; Крыльцо 4.64м²,2026\Планировки\Юра\3МД Петергоф В3.pdf (стр.1)
3мд петергоф,в4,планировка,1,68.4,45.2,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Спальная 12.36м²; Кухня-Гостиная 21.55м²; С/У 5.27м²; Прихожая 6.0м²; Терраса 18.57м²; Крыльцо 4.64м²,2026\Планировки\Юра\3МД Петергоф В4.pdf (стр.1)
3мд презентация,,планировка,1,68.8,50.8,"гостиная:1, кухня:1, терраса:1",ПМ 5.01м²; Х 3.1м²; СТМ 10.45м²; гостиная 22.75м²; кухня 9.5м²; терраса 18.0м²,2026\Планировки\Юра\3МД Презентация.pdf (стр.1)
3мд презентация,в2,планировка,1,68.8,50.8,"гостиная:1, кухня:1, спальня:1, терраса:1",ПМ 5.01м²; Х 3.1м²; Кухня-столовая 22.75м²; Спальня 10.45м²; Гостиная 9.5м²; Терраса 18.0м²,2026\Планировки\Юра\3МД Презентация В2.pdf (стр.1)
3мд саша сосед,в1,планировка,1,70.6,70.6,"кухня:1, прихожая:1, санузел:1, спальня:2",ПМ 18.0м²; кухня-столовая 22.21м²; спальня 9.46м²; санузел 4.11м²; коридор 4.35м²; прихожая 3.08м²; спальня 9.38м²,2026\Планировки\Юра\3МД Саша Сосед В1.pdf (стр.1)
3мд саша сосед,в2,планировка,1,53.4,53.4,"кухня:1, санузел:1, спальня:1",ПМ 4.065м²; кухня-столовая 22.18м²; спальня 9.46м²; санузел 4.12м²; кладовая 4.22м²; коридор 9.38м²,2026\Планировки\Юра\3МД Саша Сосед В2.pdf (стр.1)
3мд саша сосед,в3,планировка,1,52.4,52.4,"гостиная:1, прихожая:1, санузел:1, спальня:2",Спальня 9.46м²; Спальня 9.38м²; Кухня-гостиная 22.18м²; Санузел 4.12м²; Прихожая 4.22м²; Гардеробная 3.0м²,2026\Планировки\Юра\3МД Саша Сосед В3.pdf (стр.1)
3мд саша сосед,в4,планировка,1,69.1,48.0,"гостиная:1, детская:1, прихожая:1, санузел:1, спальня:1, терраса:1",С/У 3.85м²; Кухня-Гостиная 22.38м²; Прихожая 3.71м²; Спальня 9.43м²; Детская 8.64м²; Терраса 18.09м²; Крыльцо 3.0м²,2026\Планировки\Юра\3МД Саша Сосед В4.pdf (стр.1)
