object,version,sheet_type,title,path,page,area_total_m2,area_living_m2,room_counts,rooms
5м,в1,планировка,Планировка этажа,Загрузки Валя\5м в1.pdf,1,96.1,78.1,"гостиная:1, санузел:2, спальня:2, терраса:1",спальня 11.29м²; гардеробная 9.11м²; ванная 4.21м²; кухня-гостиная 34.95м²; спальня 11.29м²; санузел 4.21м²; лестница 3.0м²; терраса 18.0м²
5м в1 (1),,планировка,Планировка этажа,Загрузки Валя\5м в1 (1).pdf,1,75.1,75.1,"гостиная:1, санузел:2, спальня:2",спальня 11.29м²; гардеробная 9.11м²; ванная 4.21м²; кухня-гостиная 34.95м²; спальня 11.29м²; санузел 4.21м²
5м максим,в1,планировка,5м Максим,Планировки\Lampi 4\5м Максим в1.pdf,1,93.0,93.0,"кухня:1, прихожая:1, санузел:3, спальня:3",кухня-столовая 30.77м²; ПМХ; СТМ; коридор 6.05м²; ванная 3.66м²; туалет 3.84м²; спальня 11.71м²; гардеробная 4.83м²; санузел 3.71м²; холл 2.97м²; спальня 13.4м²; спальня 12.02м²
5мд rnt84,в1,планировка,COUNTRY HOUSE,2025\Планировки\Для Василия\5МД RNT84 В1.pdf,1,104.8,83.2,"гостиная:1, прихожая:1, санузел:1, спальня:3, терраса:1",Кухня-Гостиная 31.11м²; С/У 4.52м²; Спальня 10.89м²; Спальня 8.38м²; Спальня 14.18м²; Техпомещение 5.25м²; Холл 8.84м²; Крыльцо 3.6м²; Терраса 18.0м²
5мд rnt84,в2,планировка,COUNTRY HOUSE,2025\Планировки\Для Василия\5МД RNT84 В2.pdf,1,104.8,83.2,"гостиная:1, прихожая:1, санузел:1, спальня:3, терраса:1",Кухня-Гостиная 31.11м²; С/У 4.52м²; Спальня 10.89м²; Спальня 8.38м²; Спальня 14.18м²; Тех помещение 5.25м²; Холл 8.84м²; Крыльцо 3.6м²; Терраса 18.0м²
5мд rnt84,в6,планировка,5МД Ирина В6,2026\Планировки\Юра\5МД RNT84 В6.pdf,1,116.9,82.6,"гостиная:1, прихожая:1, санузел:1, спальня:3, терраса:1",Кухня-Гостиная 28.59м²; С/У 4.52м²; Спальня 10.89м²; Спальня 8.38м²; Спальня 14.18м²; Тех помещение 5.25м²; Холл 8.75м²; Кладовая 2.08м²; Крыльцо 4.5м²; Терраса 29.76м²
5мд гатчина,в1,планировка,5МД Гатчина В1,2026\Планировки\Юра\5МД Гатчина В1.pdf,1,77.4,77.4,"гостиная:1, прихожая:2, санузел:1, спальня:2",Кухня-Гостиная 34.04м²; Тех. помещение 4.41м²; С/У 4.23м²; Спальня 13.69м²; Холл 6.91м²; Прихожая 4.83м²; Спальня 9.26м²
5мд гатчина,в2,планировка,5МД Гатчинская В2,2026\Планировки\Юра\5МД Гатчина В2.pdf,1,118.9,84.8,"гостиная:1, прихожая:1, санузел:2, спальня:3, терраса:1",Спальня 8.45м²; Спальня 8.02м²; Коридор 6.18м²; Санузел 2.61м²; Санузел 4.73м²; Прихожая 5.92м²; Кабинет 5.72м²; Спальня 13.01м²; Кухня-Гостиная 30.16м²; Крыльцо 10.12м²; Терраса 23.97м²
5мд гатчина,в3,планировка,5МД Илья Гатчина В3,2026\Планировки\Юра\5МД Гатчина В3.pdf,1,102.7,78.7,"гостиная:1, детская:2, прихожая:1, санузел:2, спальня:1, терраса:1",Детская 8.41м²; Детская 8.39м²; Санузел 4.53м²; Санузел 2.42м²; Коридор 7.35м²; Прихожая 5.76м²; Кухня-Гостиная 29.27м²; Спальня 12.61м²; Терраса 23.97м²
5мд денис орехово,в2,,,2026\Планировки\Юра\5МД Денис Орехово В2.pdf,1,0.0,0.0,,
5мд денис орехово,в3,,,2026\Планировки\Юра\5МД Денис Орехово В3.pdf,1,0.0,0.0,,
5мд денис орехово,в4,планировка,5МД Денис Орехово В4,2026\Планировки\Юра\5МД Денис Орехово В4.pdf,1,57.4,57.4,"гостиная:1, детская:1, прихожая:1, санузел:1, спальня:1",Детская 10.66м²; С/У 2.97м²; Прихожая 4.61м²; Кухня-Гостиная 24.4м²; Лоджия 4.73м²; Спальня 10.05м²
5мд денис орехово,в5,планировка,5МД Денис Орехово В5,2026\Планировки\Юра\5МД Денис Орехово В5.pdf,1,52.7,52.7,"гостиная:1, детская:1, прихожая:1, санузел:1, спальня:1",Детская 10.66м²; Санузел 2.97м²; Прихожая 4.61м²; Кухня-Гостиная 24.4м²; Спальня 10.05м²
5мд денис орехово,в6,,,2026\Планировки\Юра\5МД Денис Орехово В6.pdf,1,0.0,0.0,,
5мд денис орехово,в7,,,2026\Планировки\Юра\5МД Денис Орехово В7.pdf,1,0.0,0.0,,
5мд дом (охраны) гостевой,в5,планировка,Country House,2025\Планировки\Для Василия\5МД Дом (охраны) Гостевой В5.pdf,1,61.6,57.9,"гостиная:1, прихожая:1, санузел:1, спальня:1",Кухня-Гостиная 21.05м²; Прихожая 10.75м²; С/У 5.07м²; Спальня 21.05м²; Крыльцо 3.65м²
5мд дом (охраны) гостевой,в6,планировка,COUNTRY HOUSE,2025\Планировки\Для Василия\5МД Дом (охраны) Гостевой В6.pdf,1,61.6,57.9,"гостиная:1, прихожая:1, санузел:1, спальня:1",Кухня-Гостиная 21.05м²; Прихожая 10.75м²; С/У 5.07м²; Спальная 21.05м²; Крыльцо 3.65м²
5мд дом охраны,в1,планировка,COUNTRY HOUSE,2025\Планировки\Для Василия\5МД Дом охраны В1.pdf,1,61.6,57.9,"гостиная:1, прихожая:1, санузел:1, спальня:1",Кухня-Гостиная 21.05м²; Прихожая 10.75м²; С/У 5.07м²; Спальня 21.05м²; Крыльцо 3.65м²
5мд дом охраны,в2,планировка,COUNTRY HOUSE,2025\Планировки\Для Василия\5МД Дом охраны В2.pdf,1,61.6,57.9,"гостиная:1, прихожая:1, санузел:1, спальня:1",Кухня-Гостиная 21.05м²; Прихожая 10.75м²; С/У 5.07м²; Спальная 21.05м²; Крыльцо 3.65м²
5мд дом охраны,в3,планировка,Country House,2025\Планировки\Для Василия\5МД Дом охраны В3.pdf,1,61.6,57.9,"гостиная:1, прихожая:1, санузел:1, спальня:1",Кухня-Гостиная 21.05м²; Прихожая 10.75м²; С/У 5.07м²; Спальная 21.05м²; Крыльцо 3.65м²
5мд дом охраны,в4,планировка,Country House,2025\Планировки\Для Василия\5МД Дом охраны В4.pdf,1,61.6,57.9,"гостиная:1, прихожая:1, санузел:1, спальня:1",Кухня-Гостиная 21.05м²; Прихожая 10.75м²; С/У 5.07м²; Спальная 21.05м²; Крыльцо 3.65м²
5мд ирина,в2,планировка,5МД Ирина B2,2026\Планировки\Юра\5МД Ирина В2.pdf,1,84.2,62.9,"гостиная:1, прихожая:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 25.4м²; Спальная 9.88м²; Тех.Помещение 5.01м²; С/У 5.88м²; Парная 3.12м²; Прихожая 5.31м²; Кабинет 8.29м²; Крыльцо 3.36м²; Терраса 18.0м²
5мд ирина,в3,планировка,5МД Ирина В3,2026\Планировки\Юра\5МД Ирина В3.pdf,1,85.6,64.6,"гостиная:1, прихожая:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 26.02м²; Спальная 10.82м²; Тех.Помещение 4.82м²; С/У 5.5м²; Парная 3.4м²; Прихожая 5.62м²; Кабинет 8.41м²; Крыльцо 2.99м²; Терраса 18.0м²
5мд ирина,в4,планировка,5МД Ирина В4,2026\Планировки\Юра\5МД Ирина В4.pdf,1,85.6,64.6,"гостиная:1, прихожая:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 26.02м²; Спальная 10.82м²; Тех.Помещение 4.82м²; С/У 5.5м²; Парная 3.4м²; Прихожая 5.62м²; Кабинет 8.41м²; Крыльцо 2.99м²; Терраса 18.0м²
5мд ирина,в5,планировка,5МД Ирина B5,2026\Планировки\Юра\5МД Ирина В5.pdf,1,85.6,64.6,"гостиная:1, прихожая:1, санузел:1, сауна:1, спальня:1, терраса:1",Кухня-Гостиная 26.02м²; Спальная 10.82м²; Тех.Помещение 4.82м²; С/У 5.5м²; Парная 3.4м²; Прихожая 5.62м²; Кабинет 8.41м²; Крыльцо 2.99м²; Терраса 18.0м²
5мд мария разлив-3,в1,,,2026\Планировки\Юра\5МД Мария Разлив-3 В1.pdf,1,0.0,0.0,,
5мд мария разлив-3 - отделка планкен,,спецификация,Спецификация планкен,2026\ДОМА\5МД Мария Разлив №3\ОТДЕЛКА\5МД Мария Разлив-3 - ОТДЕЛКА ПЛАНКЕН.pdf,1,0.0,0.0,,
5мд мария разлив-3 - отделка планкен,,планировка,План отделки планкен,2026\ДОМА\5МД Мария Разлив №3\ОТДЕЛКА\5МД Мария Разлив-3 - ОТДЕЛКА ПЛАНКЕН.pdf,2,0.0,0.0,,
5мд мария разлив-3 - отделка планкен,,спецификация,5МД Мария Разлив-3,2026\ДОМА\5МД Мария Разлив №3\ОТДЕЛКА\5МД Мария Разлив-3 - ОТДЕЛКА ПЛАНКЕН.pdf,3,0.0,0.0,,
5мд мария разлив-3 отделака четверть,,спецификация,,2026\ДОМА\5МД Мария Разлив №3\ОТДЕЛКА\5МД Мария Разлив-3 Отделака четверть.pdf,1,0.0,0.0,,
5мд мск (сауна),в1,планировка,COUNTRYHOUSE,2025\Планировки\Юра\5МД МСК (сауна) В1.pdf,1,80.9,80.9,"гостиная:1, прихожая:1, санузел:2, сауна:1, спальня:2",Спальная 12.02м²; С/У 4.2м²; Гардероб 5.07м²; Коридор 2.66м²; Сауна 4.35м²; Кухня-Гостиная 24.14м²; Тех. помещение 5.69м²; Прихожая 1.56м²; Коридор 1.62м²; Гардеробная 3.25м²; Спальная 11.7м²; С/У 4.65м²
5мд николай апатиты,в1,,,2026\Планировки\Юра\5МД Николай Апатиты В1.pdf,1,0.0,0.0,,
5мд николай апатиты,в2,планировка,5МД Николай Апатиты B2,2026\Планировки\Юра\5МД Николай Апатиты В2.pdf,1,77.7,59.3,"гостиная:1, прихожая:1, санузел:1, сауна:1, спальня:2, терраса:1",Прихожая 3.34м²; Кухня-Гостиная 22.77м²; Спальня 12.61м²; Спальня 9.21м²; Парная 3.07м²; С/У 3.34м²; Тех Помещение 5.0м²; Терраса 12.0м²; Крыльцо 6.38м²
5мд николай апатиты в1-1,,планировка,5МД Николай Апатиты В1,2026\Планировки\Юра\5МД Николай Апатиты В1-1.pdf,1,77.7,59.3,"гостиная:1, прихожая:1, сауна:1, спальня:2, терраса:1",Прихожая 3.34м²; Кухня-Гостиная 22.77м²; Спальня 12.61м²; Спальня 9.21м²; Парная 3.07м²; Пергола 3.34м²; Тех Помещение 5.0м²; Терраса 12.0м²; Крыльцо 6.38м²
5мд николай апатиты в1-2,,планировка,5МД Николай Апатиты В1,2026\Планировки\Юра\5МД Николай Апатиты В1-2.pdf,1,77.7,59.3,"гостиная:1, прихожая:1, санузел:1, сауна:1, спальня:2, терраса:1",Прихожая 3.34м²; Кухня-Гостиная 22.77м²; Спальня 12.61м²; Спальня 9.21м²; Парная 3.07м²; С/У 3.34м²; Тех Помещение 5.0м²; Терраса 12.0м²; Крыльцо 6.38м²
5мд одинцовсий район план наружных стен,в1,разрез,,2025\Планировки\Юра\5МД Одинцовсий район план наружных стен В1.pdf,1,0.0,0.0,,
5мд пески,в1,планировка,COUNTRY HOUSE,2025\Дома\Крутой склон Пески\5МД Пески В1.pdf,1,195.9,161.7,"гостиная:1, прихожая:2, санузел:2, спальня:2, терраса:1",Кухня-Гостиная 33.62м²; С/У 14.0м²; Спальня 19.7м²; Прихожая 16.5м²; Холл 16.5м²; Тех. Помещение 12.12м²; Гардеробная 13.3м²; Кладовая 12.6м²; С/У 10.06м²; Спальня 13.25м²; Терраса 31.25м²; Крыльцо 3.0м²
5мд учебный центр,в1,планировка,COUNTRY HOUSE,2025\Планировки\Для Василия\5МД Учебный центр В1.pdf,1,84.2,84.2,"прихожая:1, санузел:2",Прихожая 6.23м²; Тамбур 3.71м²; С/У М 1.81м²; С/У Ж 1.81м²; Кладовая 2.0м²; Столовая 17.66м²; Коридор 6.73м²; Лекционный зал 44.26м²
6,,планировка,БАНЯ 1 МОДУЛЬ,Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\6.pdf,1,18.0,18.0,,баня 7.75м²; комната 1.5м²; комната 3.0м²; комната 5.75м²
6 мд пески,в2,планировка,COUNTRY HOUSE,2025\Дома\Крутой склон Пески\6 МД Пески В2.pdf,1,144.9,101.4,"гостиная:1, прихожая:2, санузел:2, спальня:2, терраса:1",Кухня-Гостиная 42.55м²; С/У 3.69м²; Спальня 10.34м²; Прихожая 7.89м²; Холл 4.55м²; Тех. Помещение 2.35м²; Гардеробная 3.38м²; Кладовая 4.5м²; С/У 4.07м²; Спальня 18.11м²; Терраса 40.52м²; Крыльцо 3.0м²
6+мд максим белоостров,в4,планировка,COUNTRY HOUSE,2025\Планировки\Для Василия\6+МД Максим Белоостров В4.pdf,1,136.2,97.4,"гостиная:1, прихожая:2, санузел:2, спальня:2, терраса:1",Кухня-Гостиная 42.95м²; Спальня 9.11м²; Прихожая 5.48м²; Бойлерная 6.09м²; С/У 4.12м²; Кладовая 3.72м²; Кабинет 6.87м²; С/У 4.99м²; Гардеробная 2.63м²; Холл 1.76м²; Спальня 9.69м²; Терраса 38.75м²
6_дом выборг_руслан и марина,,другое,Дом Выборг (Руслан и Марина),2026\Планировки\6_Дом Выборг_Руслан и Марина.pdf,1,0.0,0.0,,
6_дом выборг_руслан и марина,,планировка,Дом Выборг (Руслан и Марина),2026\Планировки\6_Дом Выборг_Руслан и Марина.pdf,2,114.2,46.6,"прихожая:1, санузел:1, терраса:1",Жилая комната 10.9м²; Гардероб 4.5м²; Комната отдыха 16.5м²; Прихожая 3.7м²; С/У 4.7м²; Порная 3.3м²; Коридор 3.0м²; Терраса 67.6м²
6_дом выборг_руслан и марина,,планировка,Дом Выборг (Руслан и Марина),2026\Планировки\6_Дом Выборг_Руслан и Марина.pdf,3,0.0,0.0,,
6мд ++ миниотель варианты,,планировка,6МД ++ Варианты планировок,2026\Планировки\Юра\6МД ++ Миниотель варианты.pdf,1,79.0,79.0,,3 Балк №1 10.23м²; 3 Балк №2 10.37м²; 4 Балк №1 12.48м²; 5 Балк №5 12.85м²; 6 Балк №6 12.57м²; 1 Балк №1 10.17м²; 2 Балк №2 10.37м²
6мд 2этажа,в1,планировка,"6МД 2 Этажа, 2-й этаж",2026\Планировки\Юра\6МД 2Этажа В1.pdf,1,0.0,0.0,"кухня:1, спальня:1",кухня-столовая; спальня
6мд 2этажа,в2,планировка,"6МД 2 Этажа, 1-й и 2-й этаж",2026\Планировки\Юра\6МД 2Этажа В2.pdf,1,75.3,75.3,"гостиная:1, прихожая:2, санузел:1, спальня:3",Кухня-Гостиная 28.64м²; С/У 4.61м²; Прихожая 3.54м²; Тех. Помещение 1.67м²; Спальня 11.96м²; Спальня 9.99м²; Спальня 8.89м²; Холл 5.99м²
6мд а_к_вф в договор,,планировка,COUNTRY HOUSE,2025\Дома\6МД Лесное Озеро\6МД А_К_ВФ в договор.pdf,1,141.0,101.0,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:1",Кухня-Гостиная 39.69м²; Прихожая 3.51м²; Спальня 10.77м²; Спальня 10.77м²; Холл 4.38м²; С/У 3.3м²; Кладовая 2.26м²; Тех. Помещение 3.77м²; С/У 5.07м²; Спальная 17.5м²; Терраса 39.95м²
6мд андрей тургеневка,в1,,,2025\Планировки\Юра\6МД Андрей Тургеневка В1.pdf,1,0.0,0.0,,
6мд гатчина,в1,планировка,6МД Гатчина В1,2026\Планировки\Юра\6МД Гатчина В1.pdf,1,103.4,91.8,"гостиная:1, прихожая:1, спальня:2, терраса:1",Спальня 11.09м²; Спальня 11.11м²; СУ 3.5м²; Кабинет 6.81м²; Прихожая 3.94м²; Кухня-Гостиная 38.24м²; ГСН 5.1м²; Терраса 11.64м²; Лоджия 12.0м²
6мд жилой дом крп,в1,,,2026\Планировки\Юра\6МД Жилой дом КРП В1.pdf,1,0.0,0.0,,
6мд жилой дом крп,в2,планировка,6МД Жилой дом КРП В2,2026\Планировки\Юра\6МД Жилой дом КРП В2.pdf,1,129.7,99.2,"гостиная:1, прихожая:2, санузел:3, спальня:2, терраса:2",Жилая комната 11.64м²; Спальня 11.09м²; Кухня-гостиная 38.45м²; Санузел 4.76м²; Холл 5.1м²; Прихожая 4.18м²; Спальня 10.74м²; Санузел 3.61м²; Санузел 9.59м²; Терраса 6.7м²; Терраса 23.83м²
6мд жилой дом крп,в3,планировка,6МД Жилой дом КРП ВЗ,2026\Планировки\Юра\6МД Жилой дом КРП В3.pdf,1,114.8,93.0,"гостиная:1, прихожая:2, санузел:2, спальня:1, терраса:1",Жилая комната 11.64м²; Спальня 11.09м²; Кухня-гостиная 38.45м²; Санузел 4.76м²; Холл 5.1м²; Прихожая 4.18м²; Санузел 9.59м²; Хранение 8.17м²; Терраса 21.84м²
6мд жилой дом крп в3_260428_105932,,планировка,6МД Жилой дом КРП ВЗ,С рабочего стола Юры (бывш Аркадий)\6МД Жилой дом КРП В3_260428_105932.pdf,1,114.8,93.0,"гостиная:1, кухня:1, прихожая:2, санузел:2, спальня:2, терраса:1",Спальня 11.64м²; Спальня 11.09м²; Гостиная 38.45м²; Кухня 4.76м²; Санузел 5.1м²; Санузел 4.18м²; Прихожая 9.59м²; Холл 8.17м²; Терраса 21.84м²
6мд ивановка,в1,планировка,6МД Ивановка В1,2026\Планировки\Юра\6МД Ивановка В1.pdf,1,136.8,83.4,"кухня:1, прихожая:1, спальня:4, терраса:1",Спальня 10.65м²; Спальня 9.59м²; Спальня 7.17м²; Спальня 6.52м²; Холл 10.23м²; Кухня-столовая 39.27м²; Терраса 53.39м²
6мд ивановка,в2,планировка,6МД Ивановка В2,2026\Планировки\Юра\6МД Ивановка В2.pdf,1,66.1,66.1,"гостиная:1, кухня:1, прихожая:1, санузел:2, спальня:1",Спальня 10.31м²; Кухня 9.21м²; Гостиная 18.4м²; Холл 5.53м²; Техническая комната 5.57м²; Мастерская 4.54м²; Санузел 6.83м²; Санузел 5.74м²
6мд ивановка,в3,планировка,6МД Ивановка В3,2026\Планировки\Юра\6МД Ивановка В3.pdf,1,92.0,92.0,спальня:10,Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²; Спальня 9.2м²
6мд ивановка,в4,планировка,6МД Ивановка В4,2026\Планировки\Юра\6МД Ивановка В4.pdf,1,199.6,199.6,"гостиная:1, кухня:1, прихожая:1, санузел:1, спальня:3",гостиная 49.73м²; кухня 9.21м²; холл 9.46м²; санузел 5.76м²; спальня 14.7м²; спальня 89.1м²; спальня 21.6м²
6мд ирина раздолье,в1,планировка,6МД Ирина Раздолье В1,2026\Планировки\Юра\6МД Ирина Раздолье В1.pdf,1,93.9,93.9,"гостиная:1, прихожая:1, санузел:2, спальня:3",Спальная 17.78м²; Кухня-Гостиная 36.08м²; Прихожая 3.45м²; Спальная 10.04м²; Спальная 10.04м²; С/У 4.07м²; Тех помещение-Кладовая 4.5м²; Кладовая 2.16м²; Порядок 2.33м²; С/У 3.49м²
6мд ирина раздолье,в10,планировка,Ирина Раздолье В10,2026\Планировки\Юра\6МД Ирина Раздолье В10.pdf,1,126.6,86.9,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:1",Кухня-Гостиная 30.93м²; Прихожая 4.21м²; Спальня 9.93м²; Спальня 9.02м²; С/У 3.81м²; Кладовая 2.23м²; Кладовая 3.32м²; С/У 4.64м²; Спальня 13.34м²; Холл 5.51м²; Терраса 39.7м²
6мд ирина раздолье,в11,планировка,Ирина Раздолье B11,2026\Планировки\Юра\6МД Ирина Раздолье В11.pdf,1,126.6,86.9,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:1",Кухня-Гостиная 30.93м²; Прихожая 4.21м²; Спальня 9.93м²; Спальня 9.02м²; С/У 3.81м²; Кладовая 2.23м²; Кладовая 3.32м²; С/У 4.64м²; Спальня 13.34м²; Холл 5.51м²; Терраса 39.7м²
6мд ирина раздолье,в2,планировка,6МД Ирина Раздолье В2,2026\Планировки\Юра\6МД Ирина Раздолье В2.pdf,1,96.4,74.7,"гостиная:1, детская:2, прихожая:2, санузел:1, спальня:1, терраса:2",Детская 7.75м²; Детская 8.81м²; Кухня-Гостиная 31.82м²; Холл 4.21м²; Прихожая 4.53м²; С/У 4.11м²; Кладовая 1.96м²; Спальня 11.47м²; Терраса 3.76м²; Терраса 18.0м²
6мд ирина раздолье,в3,планировка,6МД Ирина Раздолье В3,2026\Планировки\Юра\6МД Ирина Раздолье В3.pdf,1,110.5,81.2,"гостиная:1, детская:2, прихожая:1, санузел:2, сауна:1, спальня:1, терраса:3",1 детская 8.47м²; 2 детская 8.09м²; 3 кухня-гостиная 31.04м²; 4 прихожая-холл 9.92м²; 5 спальня 9.94м²; 6 парная 3.67м²; 7 с/у 4.75м²; 8 с/у-тех помещение 3.25м²; 9 кладовая 2.03м²; 10 терраса 7.0м²; 11 крытая терраса 18.0м²; 12 терраса 4.33м²
6мд ирина раздолье,в4,планировка,6МД Ирина Раздолье В4,2026\Планировки\Юра\6МД Ирина Раздолье В4.pdf,1,106.1,76.8,"гостиная:1, детская:2, прихожая:1, санузел:1, сауна:1, спальня:1, терраса:3",Детская 8.09м²; Детская 8.47м²; Кухня-Гостиная 31.04м²; Прихожая-Холл 9.92м²; Спальная 10.43м²; С/У-Тех. Помещение 3.25м²; Кладовая 2.03м²; Парная 3.54м²; Терраса 7.0м²; Крытая Терраса 18.0м²; Терраса 4.33м²
6мд ирина раздолье,в5,планировка,6МД Ирина Раздолье B5,2026\Планировки\Юра\6МД Ирина Раздолье В5.pdf,1,106.1,76.8,"гостиная:1, детская:2, прихожая:1, санузел:1, сауна:1, спальня:1, терраса:3",Детская 8.09м²; Детская 8.47м²; Кухня-Гостиная 31.04м²; Прихожая-Холл 9.92м²; Спальная 10.43м²; С/У-Тех. Помещение 3.25м²; Кладовая 2.03м²; Парная 3.54м²; Терраса 7.0м²; Крытая Терраса 18.0м²; Терраса 4.33м²
6мд ирина раздолье,в6,планировка,6МД Ирина Раздолье B6,2026\Планировки\Юра\6МД Ирина Раздолье В6.pdf,1,99.6,77.3,"гостиная:1, детская:2, прихожая:2, санузел:1, сауна:1, спальня:1, терраса:2",Детская 8.09м²; Детская 8.47м²; Кухня-Гостиная 31.04м²; Прихожая 6.69м²; Холл 3.74м²; Спальня 10.43м²; Кладовая 2.03м²; С/У-Тех. Помещение 3.25м²; Парная 3.54м²; Терраса 4.33м²; Крытая Терраса 18.0м²
6мд ирина раздолье,в7,планировка,6МД Ирина Раздолье В7,2026\Планировки\Юра\6МД Ирина Раздолье В7.pdf,1,106.6,77.3,"гостиная:1, детская:2, прихожая:2, санузел:1, сауна:1, спальня:1, терраса:3",Детская 8.09м²; Детская 8.47м²; Кухня-Гостиная 31.04м²; Прихожая 6.69м²; Холл 3.74м²; Спальня 10.43м²; Кладовая 2.03м²; С/У-Тех. Помещение 3.25м²; Парная 3.54м²; Терраса 7.0м²; Крытая Терраса 18.0м²; Терраса 4.33м²
6мд ирина раздолье,в8,планировка,6МД Ирина Раздолье В8,2026\Планировки\Юра\6МД Ирина Раздолье В8.pdf,1,82.0,82.0,"детская:2, прихожая:2, санузел:2, спальня:2",Спальня 10.69м²; Спальня 29.75м²; Детская 8.86м²; Детская 10.65м²; Холл 4.13м²; Прихожая 4.73м²; Техническое помещение 4.07м²; С/У 3.88м²; С/У 5.27м²
6мд ирина раздолье,в9,планировка,Ирина Раздолье B9,2026\Планировки\Юра\6МД Ирина Раздолье В9.pdf,1,126.6,86.9,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:1",Кухня-Гостиная 30.93м²; Прихожая 4.21м²; Спальня 9.93м²; Спальня 9.02м²; С/У 3.81м²; Кладовая 2.23м²; Кладовая 3.32м²; С/У 4.64м²; Спальная 13.34м²; Холл 5.51м²; Терраса 39.7м²
6мд лесное озеро a,,планировка,COUNTRY HOUSE,2025\Дома\6МД Лесное Озеро\6МД Лесное Озеро A.pdf,1,141.0,101.0,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:1",Кухня-Гостиная 39.69м²; Прихожая 3.51м²; Спальня 10.77м²; Спальня 10.77м²; Холл 4.38м²; С/У 3.3м²; Кладовая 2.26м²; Тех. Помещение 3.77м²; С/У 5.07м²; Спальня 17.5м²; Терраса 39.95м²
6мд лесное озеро изменено открывание двери,,планировка,Лесное озеро,2025\Дома\6МД Лесное Озеро\6МД Лесное озеро изменено открывание двери.pdf,1,95.0,95.0,"гостиная:1, кухня:1, прихожая:1, санузел:1, спальня:3",спальня 1 17.9м²; спальня 2 10.77м²; спальня 3 10.77м²; гостиная 29.1м²; кухня 10.7м²; прихожая 3.51м²; кладовая 4.45м²; санузел 4.0м²; техническое помещение 2.25м²; откидное 1.6м²
6мд набросок,,планировка,COUNTRY HOUSE,2025\Дома\6МД Набросок\6МД Набросок.pdf,1,0.0,0.0,"гостиная:1, кухня:1, санузел:1, спальня:1",спальня; ванная; кухня; гостиная
6мд ранта 100,в1,планировка,6МД Ранта 100 В1,2026\Планировки\Юра\6МД Ранта 100 В1.pdf,1,111.0,81.3,"гостиная:1, прихожая:2, санузел:1, сауна:1, спальня:3, терраса:1",1 Спальня 9.21м²; 2 Спальня 11.54м²; 3 Спальня 9.69м²; 4 Кухня-Гостиная 31.27м²; 5 Гардероб 2.17м²; 6 Прихожая 3.24м²; 7 Тех. помещение 3.13м²; 8 С/У 3.95м²; 9 Парная 3.29м²; 10 Холл 3.77м²; 11 Терраса 29.76м²
6мд с тех.помещением,в1,планировка,COUNTRY HOUSE,2025\Планировки\Юра\6МД С тех.помещением В1.pdf,1,97.9,97.9,"гостиная:1, кухня:1, санузел:3, спальня:1",гостиная 34.17м²; кухня 8.42м²; холодильник 5.7м²; санузел 2.03м²; гардеробная 11.6м²; коридор 4.02м²; спальня 11.6м²; ванная 5.32м²; туалет 5.14м²; прачечная 4.95м²; лестница 4.9м²
6мд семейный дом (ипотека),в1,планировка,6МД Семейный дом (Ипотека) В1,2026\Планировки\Юра\6МД Семейный дом (Ипотека) В1.pdf,1,83.1,83.1,"гостиная:1, прихожая:2, санузел:1, спальня:3",Спальная 8.81м²; Спальная 8.09м²; Кухня-Гостиная 31.82м²; Кабинет 8.67м²; Спальная 11.78м²; Холл 3.49м²; Прихожая 4.53м²; С/У 3.96м²; Тех помещение 1.96м²
6мд ярославль,в2,планировка,COUNTRY HOUSE,2025\Планировки\Юра\6МД Ярославль В2.pdf,1,119.1,97.3,"гостиная:1, прихожая:2, санузел:2, спальня:3, терраса:1",Тех. помещение 7.63м²; Кухня-Гостиная 36.46м²; Холл 5.07м²; Спальная 11.07м²; Спальная 13.07м²; Спальная 11.11м²; С/У 5.04м²; С/У 1.33м²; Прихожая 6.55м²; Крыльцо 3.75м²; Терраса 18.0м²
7,,планировка,БАНЯ 2 МОДУЛЯ,Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\7.pdf,1,52.7,34.7,терраса:1,ВХОД 3.0м²; комната 16.91м²; комната 1.85м²; комната 5.26м²; комната 7.68м²; терраса 18.0м²
